Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss,Decision
159,1,0,0,13.648,0,4.126,2.94,90.01,-3.041,0.081,0
160,0,0,0,13.052,1,4.511,2.524,43.78,-4.339,0.223,0
161,0,1,0,12.704,0,4.682,2.519,67.45,-4.165,0.41,0
162,0,0,0,14.097,2,4.596,2.385,94.06,-3.669,0.719,0
163,0,0,0,12.827,0,4.104,2.907,62.3,-3.446,0.567,0
164,0,0,0,12.768,0,4.391,3.085,92.71,-3.685,0.747,0
165,1,1,0,13.372,0,4.639,2.536,89.23,-3.734,0.208,0
166,0,2,0,12.861,0,5.242,3.173,138.79,-4.263,0.463,0
167,0,2,0,12.894,0,5.213,3.315,138.79,-4.166,0.463,0
168,1,0,0,13.51,0,4.586,2.52,136.98,-3.438,0.624,0
169,1,3,0,14.468,0,4.384,3.027,107.44,-2.675,0.381,0
170,0,1,0,12.706,0,5.243,2.808,128.29,-4.563,0.737,0
171,0,0,0,13.383,1,4.647,2.488,99.79,-3.734,0.426,0
172,0,0,0,12.746,0,3.863,2.495,50.72,-3.354,0.624,0
173,0,0,0,13.85,1,3.502,2.274,29.1,-3.25,0.088,0
174,0,0,0,12.569,0,4.225,2.742,58.56,-3.901,0.477,0
175,1,0,0,13.55,0,4.308,2.635,110.68,-3.254,0.376,0
176,0,0,1,12.154,0,3.433,2.32,3.24,-3.535,0,0
177,1,0,0,13.51,0,4.586,2.52,136.98,-3.438,0.624,0
178,1,0,0,13.771,0,4.292,2.392,127.75,-2.972,0.382,0
179,0,0,0,12.165,0,3.027,2.026,26.02,-3.416,0,0
180,0,1,0,13.636,1,4.567,2.749,68.74,-3.516,0.626,0
181,0,1,0,13.565,1,4.361,2.691,40.54,-3.797,0.235,0
182,0,0,1,12.615,0,4.565,2.215,63.95,-4.127,0.972,0
183,0,0,0,19.874,0,4.366,1.275,42.68,-3.995,0.535,0
184,0,0,0,12.51,0,4.11,2.791,45.59,-3.821,0.396,0
185,1,3,0,13.685,0,4.881,2.713,97.71,-3.725,0.388,0
186,1,1,0,13.188,0,4.963,2.785,107.25,-4.149,0.455,0
187,0,3,1,13.009,0,4.893,3.023,104.74,-3.92,0.144,0
188,2,0,0,14.512,0,4.469,2.421,161.62,-2.747,0.349,0
189,0,0,0,15.788,2,3.413,2.232,36.42,-2.448,0,0
190,1,0,0,15.035,1,3.939,2.55,98.21,-2.683,0.134,0
191,0,0,0,12.676,0,3.807,2.59,57.28,-3.243,0.391,0
192,0,0,0,12.956,0,3.992,3.184,81.93,-2.683,0.193,0
193,0,0,0,13.119,0,4.806,3.135,205.45,-3.016,0.549,0
194,0,0,0,12.742,0,3.327,3.243,55.48,-2.39,0.338,0
