Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,Decision
155,0,0,0,1,19,0,6,12.536,0,2.579,-3.577,3.585,0.666,0
156,1,0,0,2,52,0,7,13.008,0,2.074,-4.166,1,2.467,0
157,1,0,0,7,37,0,8,12.496,0,2.902,-4.083,4.7,0.929,0
158,0,0,0,2,21,0,4,12.201,0,2.451,-3.974,3.7,0.299,0
159,2,1,0,4,22,0,4,13.648,0,2.94,-3.041,4.322,0.642,0
160,1,0,0,2,34,0,8,13.052,1,2.524,-4.339,4.322,0.697,0
161,1,0,1,3,36,0,12,12.704,0,2.519,-4.165,4.17,1.035,0
162,1,0,0,3,33,0,10,14.097,2,2.385,-3.669,3.807,1.407,0
163,1,0,0,1,22,0,5,12.827,0,2.907,-3.446,3,0.923,0
164,1,0,0,3,29,0,5,12.768,0,3.085,-3.685,3.807,1.438,0
165,3,1,1,5,36,0,6,13.372,0,2.536,-3.734,3.907,1.079,0
166,3,0,2,8,54,0,9,12.861,0,3.173,-4.263,5.209,1.822,0
167,3,0,2,8,52,0,8,12.894,0,3.315,-4.166,5.209,1.816,0
168,3,1,0,4,32,0,10,13.51,0,2.52,-3.438,3.907,1.664,0
169,2,1,3,3,24,0,6,14.468,0,3.027,-2.675,3.807,1.374,0
170,2,0,1,6,56,0,13,12.706,0,2.808,-4.563,4.755,1.918,0
171,2,0,0,5,36,0,6,13.383,1,2.488,-3.734,4.17,1.239,0
172,1,0,0,1,19,0,9,12.746,0,2.495,-3.354,3,0.955,0
173,1,0,0,1,16,0,2,13.85,1,2.274,-3.25,3,0.286,0
174,1,0,0,1,25,0,11,12.569,0,2.742,-3.901,3.807,0.811,0
175,3,1,0,4,26,0,10,13.55,0,2.635,-3.254,3.907,1.25,0
176,0,0,0,1,14,1,4,12.154,0,2.32,-3.535,3,0.187,0
177,3,1,0,4,32,0,10,13.51,0,2.52,-3.438,3.907,1.664,0
178,4,1,0,4,25,0,7,13.771,0,2.392,-2.972,3.322,1.366,0
179,0,0,0,1,13,0,0,12.165,0,2.026,-3.416,0,0.167,0
180,0,0,1,4,31,0,8,13.636,1,2.749,-3.516,4.17,1.242,0
181,1,0,1,1,26,0,6,13.565,1,2.691,-3.797,3.807,0.542,0
182,0,0,0,2,33,1,13,12.615,0,2.215,-4.127,3.807,1.365,0
183,1,0,0,1,31,0,11,19.874,0,1.275,-3.995,4.17,0.829,0
184,1,0,0,2,24,0,4,12.51,0,2.791,-3.821,3.7,0.722,0
185,4,1,3,3,40,0,9,13.685,0,2.713,-3.725,4.524,1.258,0
186,3,1,1,5,45,0,10,13.188,0,2.785,-4.149,4.755,1.43,0
187,2,0,3,6,41,1,11,13.009,0,3.023,-3.92,4.755,1.135,0
188,5,2,0,5,28,0,6,14.512,0,2.421,-2.747,4,1.218,0
189,1,0,0,3,14,0,1,15.788,2,2.232,-2.448,3,0.453,0
190,2,1,0,3,19,0,4,15.035,1,2.55,-2.683,3.807,0.848,0
191,0,0,0,2,18,0,6,12.676,0,2.59,-3.243,3.459,0.809,0
192,1,0,0,5,19,0,4,12.956,0,3.184,-2.683,3.585,0.814,0
193,2,0,0,10,36,0,11,13.119,0,3.135,-3.016,4.248,2.256,0
194,0,0,0,1,12,0,1,12.742,0,3.243,-2.39,2.807,0.797,0
