Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P
29,2,0,1,3,24,0,3,13.05,0,3.239,-3.248,3.807,1.118,1.583
30,2,0,2,4,28,0,3,13.223,0,2.983,-3.262,3.807,1.416,2.082
31,2,0,3,4,29,0,3,13.422,0,3.673,-3.183,4.322,1.322,2.039
32,5,0,0,2,32,0,2,13.865,1,2.958,-3.281,3.585,2.239,0.108
33,5,0,0,2,32,0,2,13.133,0,3.062,-3.438,3.585,2.246,-0.504
34,5,0,0,3,33,0,3,13.038,0,2.821,-3.516,3.585,2.18,0.03
35,5,0,0,2,33,0,2,13.22,0,3.123,-3.363,3.585,2.446,-1.4
36,5,0,0,2,32,0,2,13.133,0,3.038,-3.438,3.585,2.236,-0.371
37,2,0,1,3,27,0,4,13.082,0,2.895,-3.346,3.807,1.417,1.98
38,2,0,1,3,26,0,2,13.124,0,2.907,-3.254,3.807,1.398,1.544
39,2,0,1,3,29,0,4,13.008,0,3.002,-3.518,3.807,1.422,2.37
