Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P,Decision
1,2,1,0,2,29,0,7,13.39,0,2.339,-3.685,3.907,1.122,3.369,1
1,1,0,0,5,28,0,5,12.937,0,2.786,-3.262,3.7,1.509,1.057,1
1,1,0,3,6,35,1,7,13.066,0,3.33,-3.664,4.7,0.929,4.175,1
1,2,0,3,6,40,1,10,13.034,0,3.035,-3.858,4.755,1.116,4.571,1
1,1,0,0,2,29,0,6,12.561,0,2.766,-4.02,4.248,1.025,2.667,1
1,2,1,0,4,28,0,10,13.582,0,2.701,-3.262,3.807,1.455,1.886,1
1,2,0,0,7,38,0,10,12.694,0,3.328,-3.867,4.954,1.547,3.601,1
1,2,1,0,3,19,0,4,14.011,0,2.984,-2.683,3.807,1.211,1.71,1
1,3,1,0,4,28,0,8,13.725,0,2.847,-3.09,3.907,1.65,1.287,1
1,3,1,0,5,18,0,7,14.566,0,2.755,-1.853,3.17,1.463,0.301,1
1,0,0,0,7,19,0,1,12.746,0,3.642,-2.683,4.17,0.955,0.833,1
1,1,0,0,1,21,0,5,12.676,0,2.716,-3.556,3,0.765,1.931,1
1,0,0,0,3,16,0,0,12.385,0,3.107,-3.25,3.585,0.304,1.804,1
1,3,0,0,10,38,0,12,13.166,0,3.193,-3.038,4.322,2.413,-2.46,1
1,1,0,0,3,25,0,8,12.41,0,2.366,-3.901,3.807,0.582,3.362,1
1,4,0,0,4,29,0,11,12.974,0,3.042,-3.35,4.087,1.586,1.385,1
1,1,0,0,1,21,0,5,12.676,0,2.716,-3.556,3,0.765,1.931,1
1,2,0,0,5,9,0,3,13.12,0,2.379,-1.409,1.585,0.734,-1.034,1
1,1,0,0,3,20,0,8,13.881,1,2.146,-3.025,3,0.925,2.002,1
1,2,0,0,7,22,0,6,13.893,1,3.062,-2.635,3.907,1.206,0.749,1
1,0,1,0,3,27,0,6,13.992,1,2.314,-3.698,3.7,0.606,3.943,1
1,0,0,0,4,21,0,5,12.961,0,2.687,-2.928,3.7,1.438,1.258,1
1,2,1,0,4,28,0,9,13.582,0,2.658,-3.262,3.807,1.386,2.104,1
1,2,1,1,4,26,0,7,13.818,0,2.924,-3.073,3.807,1.318,2.083,1
1,2,1,0,4,28,0,9,13.582,0,2.658,-3.262,3.807,1.386,2.104,1
1,3,1,0,5,29,0,8,13.597,0,2.669,-3.183,3.907,1.506,1.202,1
1,1,0,0,3,17,0,7,12.598,0,2.417,-3.126,3,0.637,1.34,1
