Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss
56,0,0,0,13.445,0,4.567,3.2,268.17,-2.813,1.227
57,0,0,0,12.961,0,4.075,2.687,105.51,-2.928,0.725
58,0,0,0,13.085,0,5.408,2.832,319.61,-4.355,2.435
59,0,0,0,13.985,1,4.153,2.391,71.06,-3.248,1.126
60,0,3,0,13.408,0,4.376,3.427,76.72,-2.972,0.146
61,0,0,0,13.674,2,4.462,2.554,42.21,-4.127,0
62,1,0,0,13.895,0,3.79,2.757,86.18,-2.885,0.095
63,0,0,0,13.349,1,3.926,2.108,28.16,-3.649,0
64,0,0,0,13.464,1,4.064,2.269,48.39,-3.54,0.156
65,0,6,0,13.93,0,4.425,3.583,45.15,-3.073,0.15
66,0,0,0,12.51,0,4.11,2.791,45.59,-3.821,0.396
67,0,0,0,13.507,0,3.487,3.025,81.19,-1.792,0.41
68,0,0,0,13.721,0,2.814,3.5,64.35,-1.203,0.147
69,0,0,0,12.866,0,3.443,2.132,64.52,-2.72,0.312
70,1,0,0,14.197,0,3.076,2.082,38.91,-2.516,0
71,0,0,0,13.009,0,3.246,3.593,68.01,-1.993,0.072
72,0,0,0,12.861,0,5.213,2.442,209.04,-4.472,1.794
73,0,0,0,12.957,0,5.207,2.518,220.15,-4.287,2.052
74,1,0,0,14.013,0,3.78,2.513,79.51,-2.5,0.076
75,0,0,0,12.842,0,3.247,2.553,63.32,-2.689,0.295
76,0,0,0,15.565,2,3.662,2.524,90.71,-2.25,0
77,0,0,0,12.918,0,3.145,2.15,63.32,-2.516,0.295
78,0,0,0,13.119,0,3.074,2.888,63.32,-2.113,0.295
79,0,0,0,12.464,0,3.872,1.913,52.32,-3.851,0.281
80,0,0,0,12.233,0,3.713,2.488,16.13,-3.707,0
81,0,0,0,12.122,0,3.752,2.443,3.24,-3.938,0
82,0,0,0,13.439,1,4.012,2.749,43.07,-3.446,0
83,0,0,0,13.893,1,4.148,3.134,84.6,-3.041,0.208
84,0,0,0,13.602,1,3.95,2.709,48.19,-3.347,0.083
85,0,0,0,13.802,1,4.099,3.134,78.76,-3.243,0.366
86,0,0,0,13.582,1,3.895,2.66,32.67,-3.458,0.074
87,0,1,0,13.507,1,4.241,2.505,35.91,-3.698,0.074
88,0,0,0,14.813,2,3.977,2.691,61.69,-3.137,0.205
89,0,1,0,13.594,1,4.097,2.807,30.18,-3.54,0
90,0,0,0,13.781,1,3.952,3.029,61.69,-3.241,0.205
91,0,0,0,13.697,1,3.977,2.781,52.9,-3.347,0.205
92,0,0,0,14.397,2,4.036,2.499,43.07,-3.344,0
93,0,0,0,13.341,0,3.69,2.466,104.64,-2.344,0.504
94,0,0,0,13.119,0,3.823,2.16,90.65,-2.78,0.504
95,0,0,0,12.809,0,2.943,2.02,37.3,-2.658,0.295
96,0,0,0,12.676,0,3.591,2.632,37.38,-3.126,0.15
97,0,0,0,13.008,0,3.069,2.308,46.17,-2.325,0.151
98,0,0,0,12.641,0,3.914,3.508,58.2,-3.354,0.135
99,1,0,0,14.464,0,4.083,2.218,115.54,-2.432,0.694
100,1,0,0,14.583,0,3.625,2.736,86.19,-2.176,0.217
101,0,0,0,12.106,0,3.848,2.485,3.24,-4.183,0
102,0,0,0,13.258,1,3.876,2.252,6.48,-3.851,0
103,0,0,0,12.296,0,3.898,2.587,12.47,-3.974,0.238
104,0,0,0,12.192,0,3.877,2.34,6.48,-4.054,0
105,0,0,0,13.53,1,3.984,2.772,36.86,-3.446,0.206
106,0,0,0,12.211,0,3.8,2.626,15.27,-3.89,0
107,0,0,0,12.201,0,3.846,2.451,6.48,-3.974,0
108,0,0,0,12.111,0,3.803,2.667,12.03,-4.106,0
109,1,0,0,13.251,0,3.912,2.447,21.26,-3.765,0.234
110,0,0,0,12.326,0,3.796,2.533,21.26,-3.801,0.236
111,0,0,0,12.51,0,3.792,2.226,32.7,-3.674,0.398
112,0,0,0,13.85,1,3.502,1.912,29.1,-3.25,0.086
113,0,0,0,12.454,0,3.804,3.407,46.33,-3.475,0.062
114,0,0,0,12.641,0,3.898,3.434,63.4,-3.354,0.148
115,0,1,1,12.635,0,4.178,2.729,36.26,-3.821,0.13
116,0,1,1,12.635,0,4.178,2.729,36.26,-3.821,0.13
117,0,3,0,13.236,0,4.204,3.065,21.26,-3.446,0.236
118,0,3,0,13.508,0,4.224,2.884,56.84,-3.041,0.303
119,0,1,0,12.884,0,4.29,3.14,39.72,-3.63,0.654
120,0,0,0,14.455,2,3.766,2.205,12.03,-3.674,0
121,0,0,0,12.832,0,3.89,3.072,67.16,-2.885,0.201
122,0,0,0,12.106,0,3.82,2.625,12.03,-4.183,0
123,0,0,0,12.598,0,3.673,2.649,38.33,-3.366,0.283
124,0,0,0,13.45,1,4.331,2.703,45.78,-3.435,0.06
125,0,0,0,12.464,0,3.991,2.361,66.48,-3.851,0.311
126,0,0,0,14.039,2,4.492,2.438,44.81,-3.762,0.319
127,1,3,0,13.711,0,4.512,2.712,29.95,-3.598,0.156
128,1,0,0,13.992,1,4.245,2.314,29.95,-3.698,0.156
129,1,0,0,13.99,1,4.085,2.18,9.72,-3.715,0
130,1,0,0,13.213,0,3.763,2.128,6.48,-3.674,0
131,2,0,0,13.718,0,4.136,2.048,9.72,-3.874,0
132,1,0,0,14.272,1,3.823,2.045,6.48,-3.556,0
133,2,0,0,13.775,0,3.999,2.03,6.48,-3.901,0
134,0,0,0,13.377,1,4.003,2.564,30.87,-3.54,0
135,0,0,0,13.464,1,4.022,2.588,28.07,-3.54,0.206
