Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss
397,1,0,0,14.422,2,4.916,2.622,133.99,-3.789,0.753
398,0,0,0,13.119,0,3.159,3.75,50.19,-2.113,0.289
399,0,0,0,12.898,0,3.102,3.553,55.98,-2.113,0.073
400,0,0,0,12.201,0,4.862,2.1,34.14,-5.136,0.174
401,0,0,0,13.008,0,4.106,3.797,90.9,-3.241,1.064
402,0,0,2,12.676,0,3.878,2.571,35.53,-3.475,0.523
403,0,0,0,12.201,0,3.881,2.01,20.23,-4.183,0.154
404,0,0,0,12.823,0,4.395,2.907,124.44,-3.262,0.508
405,0,0,0,12.555,0,4.453,2.519,71.68,-3.974,0.137
406,0,0,0,14.286,0,4.788,2.16,118.21,-4.038,0.429
407,2,0,0,16.585,0,3.678,1.75,86.74,-1.632,0.306
408,0,1,0,13.487,0,4.338,2.932,122.91,-2.786,0.733
409,0,0,0,17.082,2,3.295,2.067,61.77,-1.494,0.076
410,0,0,1,12.768,0,4.462,2.905,74.73,-3.685,0.765
411,0,0,0,12.604,0,4.687,2.612,87.55,-3.942,0.317
412,0,1,0,13.636,1,4.567,2.749,68.74,-3.516,0.626
413,0,1,0,14.272,2,4.458,2.557,77.99,-3.435,0.232
414,0,0,0,17.569,2,3.246,1.618,41.57,-1.904,0.159
415,0,0,0,13.536,0,3.902,3.643,130.83,-2.164,0.634
416,2,3,0,14.269,0,4.698,2.571,110.86,-3.371,0.081
417,1,2,0,14.297,1,4.618,2.745,91.92,-3.516,0.169
418,1,0,0,13.994,1,4.6,2.432,106.51,-3.363,0.228
419,0,0,0,12.496,0,4.767,2.902,86.28,-4.083,0.072
420,0,3,0,13.009,0,4.92,3.316,97.62,-3.795,0.072
421,0,0,0,12.944,0,5.284,2.87,221.29,-4.514,1.815
422,0,0,0,13.008,0,5.192,2.671,224.45,-4.343,1.869
423,0,0,0,13.245,0,4.906,3.069,160.83,-3.723,2.201
424,0,1,0,14.671,0,4.393,3.182,186.07,-1.91,0.735
425,0,1,0,14.117,0,3.294,4.37,65.72,-1.409,0.132
426,0,2,0,14.006,0,4.021,3.855,110.6,-2.085,0.48
427,0,0,0,12.455,0,3.728,2.693,56.73,-3.243,0
428,0,0,0,12.956,0,3.984,3.383,92.5,-2.906,0.222
429,0,0,0,15.108,2,3.838,2.265,66.56,-2.906,0.293
430,0,0,0,13.099,0,4.777,3.362,210.54,-3.057,0.66
431,0,0,0,13.008,0,4.579,3.211,163.18,-3.438,0.993
432,0,3,0,13.961,0,4.293,3.387,92.55,-2.432,0.268
433,1,0,0,13.366,0,4.541,2.514,119.03,-3.356,0.086
434,0,3,0,14.022,1,4.767,3.201,92.35,-3.281,0.342
435,0,1,0,12.802,0,4.431,2.576,77.23,-3.685,0.145
436,0,0,0,13.105,0,4.71,3.503,191.26,-3.196,0.733
437,1,0,0,13.129,0,4.617,2.81,70,-4.19,0.842
438,0,1,0,13.036,0,4.714,3.101,130.75,-3.734,0.707
439,2,0,0,14.014,0,4.142,2.072,40.54,-3.715,0.295
440,0,0,0,14.374,0,4.044,2.562,136.38,-2.012,0.407
441,0,0,0,12.536,0,3.749,2.37,43.7,-3.577,0.41
442,0,0,0,12.771,0,4.054,2.951,67.51,-3.556,0.585
443,0,1,0,15.039,0,4.46,2.14,59.51,-3.598,0.482
444,0,0,0,13.026,1,4.291,2.454,12.47,-4.355,0.242
445,0,3,0,13.886,1,4.634,3.199,66.49,-3.35,0
446,1,1,0,14.245,1,4.717,2.364,140.13,-3.159,0.341
447,0,3,1,12.958,0,4.893,3.076,65.77,-3.93,0.072
448,0,0,0,12.616,0,4.543,2.555,77.33,-3.822,0.493
449,0,2,0,13.151,0,4.695,2.857,83.16,-3.517,0.692
450,1,0,0,13.733,1,4.656,2.233,105.24,-3.867,0.339
451,0,0,0,13.62,1,4.756,2.232,85.86,-3.858,0.346
452,0,1,1,12.909,0,4.482,2.982,110.06,-3.435,0.305
453,0,0,0,12.616,0,4.616,3.246,99.16,-3.822,0.282
454,0,0,1,12.638,0,4.71,3.231,118.51,-3.81,0.14
455,0,0,0,13.271,0,3.987,3.383,112.13,-2.459,0.577
456,0,0,0,17.22,4,3.592,1.899,0,-3.243,0
457,0,0,0,12.283,0,3.894,2.391,20.31,-4.054,0.089
458,0,0,0,13.606,0,3.194,3.261,58.92,-1.993,0.574
459,0,0,0,13.325,1,4.472,2.752,92.51,-3.598,0.152
460,0,0,0,31.908,0,4.188,0.769,92.78,-2.866,0.756
461,0,0,0,14.255,2,4.199,2.173,74.6,-3.777,0.469
462,1,0,0,13.648,0,4.131,2.739,86.19,-3.243,0.216
463,0,1,0,13.092,0,3.472,3.72,32.86,-2.689,0.071
464,0,0,0,12.471,0,4.283,2.108,35.53,-4.158,0.522
