Index,C Log P,Mol Wt,nOHNH,ROTB,Molecular Volume,Decision
99,0.74,517.56,3,6,438.62,1
100,1.97,286.24,4,1,232.07,1
101,8.43,473.41,1,4,408.74,1
102,1.82,334.4,2,4,287.55,0
103,0.85,312.41,3,8,309.6,0
104,3,284.22,3,1,225.61,0
105,3.01,270.24,3,0,223.19,0
106,2.42,270.24,3,1,223.43,0
107,3.54,254.24,2,0,215.17,0
108,3.54,284.27,2,1,240.72,0
109,0.65,430.37,5,4,350.33,0
110,0.36,446.36,6,4,358.35,0
111,0.24,460.39,5,5,375.88,0
112,-0.49,478.36,8,4,374.39,0
113,2.36,476.47,3,12,420.65,0
114,-5.17,157.21,0,1,159.43,0
115,2.15,424.53,4,11,409.92,0
116,0.62,407.57,3,4,402.94,0
117,-0.18,293.26,4,2,237.35,0
118,2.92,285.37,1,7,255.59,0
119,0.28,515.71,5,7,483.12,0
120,-2.13,130.25,0,4,162.31,0
121,-0.26,361.37,1,2,311.15,0
122,2.17,359.4,2,3,318.61,0
123,-4.97,307.33,6,9,259.22,0
124,-1.48,253.26,5,5,220.42,0
125,2.63,320.34,2,6,289.48,0
126,2.06,407.32,2,5,311.65,0
127,-1.26,129.17,5,2,126.68,0
128,1.43,180.16,1,3,155.57,0
129,-0.11,337.46,8,7,262.24,0
130,-1.08,204.23,4,3,184.94,0
131,0.65,145.16,1,0,132,0
132,0.25,167.12,2,2,133.89,0
133,1.88,302.24,5,1,240.08,0
134,1.97,286.24,4,1,232.07,0
135,1.68,302.24,5,1,240.08,0
136,2.11,481.55,3,10,417.07,0
137,0.84,350.44,1,2,303.29,0
138,2.27,270.24,3,1,224.05,0
139,2.56,254.24,2,1,216.03,0
140,-2.17,255.23,5,5,212.6,0
