Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss,C Log P
81,0,0,0,12.122,0,3.752,2.443,3.24,-3.938,0,3.75
82,0,0,0,13.439,1,4.012,2.749,43.07,-3.446,0,3.58
83,0,0,0,13.893,1,4.148,3.134,84.6,-3.041,0.208,3.038
84,0,0,0,13.602,1,3.95,2.709,48.19,-3.347,0.083,1.849
85,0,0,0,13.802,1,4.099,3.134,78.76,-3.243,0.366,2.583
86,0,0,0,13.582,1,3.895,2.66,32.67,-3.458,0.074,3.154
87,0,1,0,13.507,1,4.241,2.505,35.91,-3.698,0.074,4.005
88,0,0,0,14.813,2,3.977,2.691,61.69,-3.137,0.205,3.101
89,0,1,0,13.594,1,4.097,2.807,30.18,-3.54,0,4.324
90,0,0,0,13.781,1,3.952,3.029,61.69,-3.241,0.205,2.448
91,0,0,0,13.697,1,3.977,2.781,52.9,-3.347,0.205,2.472
92,0,0,0,14.397,2,4.036,2.499,43.07,-3.344,0,4.234
93,0,0,0,13.341,0,3.69,2.466,104.64,-2.344,0.504,0.983
94,0,0,0,13.119,0,3.823,2.16,90.65,-2.78,0.504,2.023
95,0,0,0,12.809,0,2.943,2.02,37.3,-2.658,0.295,2.287
96,0,0,0,12.676,0,3.591,2.632,37.38,-3.126,0.15,1.333
97,0,0,0,13.008,0,3.069,2.308,46.17,-2.325,0.151,0.449
98,0,0,0,12.641,0,3.914,3.508,58.2,-3.354,0.135,1.77
99,1,0,0,14.464,0,4.083,2.218,115.54,-2.432,0.694,-0.395
100,1,0,0,14.583,0,3.625,2.736,86.19,-2.176,0.217,0.616
101,0,0,0,12.106,0,3.848,2.485,3.24,-4.183,0,4.169
102,0,0,0,13.258,1,3.876,2.252,6.48,-3.851,0,4.528
103,0,0,0,12.296,0,3.898,2.587,12.47,-3.974,0.238,3.962
104,0,0,0,12.192,0,3.877,2.34,6.48,-4.054,0,4.121
105,0,0,0,13.53,1,3.984,2.772,36.86,-3.446,0.206,3.429
106,0,0,0,12.211,0,3.8,2.626,15.27,-3.89,0,3.533
107,0,0,0,12.201,0,3.846,2.451,6.48,-3.974,0,3.875
108,0,0,0,12.111,0,3.803,2.667,12.03,-4.106,0,3.826
109,1,0,0,13.251,0,3.912,2.447,21.26,-3.765,0.234,4.631
110,0,0,0,12.326,0,3.796,2.533,21.26,-3.801,0.236,3.725
111,0,0,0,12.51,0,3.792,2.226,32.7,-3.674,0.398,3.036
112,0,0,0,13.85,1,3.502,1.912,29.1,-3.25,0.086,3.299
113,0,0,0,12.454,0,3.804,3.407,46.33,-3.475,0.062,3.387
114,0,0,0,12.641,0,3.898,3.434,63.4,-3.354,0.148,2.642
115,0,1,1,12.635,0,4.178,2.729,36.26,-3.821,0.13,3.813
116,0,1,1,12.635,0,4.178,2.729,36.26,-3.821,0.13,3.813
117,0,3,0,13.236,0,4.204,3.065,21.26,-3.446,0.236,4.435
118,0,3,0,13.508,0,4.224,2.884,56.84,-3.041,0.303,3.202
119,0,1,0,12.884,0,4.29,3.14,39.72,-3.63,0.654,3.327
120,0,0,0,14.455,2,3.766,2.205,12.03,-3.674,0,5.18
121,0,0,0,12.832,0,3.89,3.072,67.16,-2.885,0.201,1.418
122,0,0,0,12.106,0,3.82,2.625,12.03,-4.183,0,4.211
123,0,0,0,12.598,0,3.673,2.649,38.33,-3.366,0.283,2.085
124,0,0,0,13.45,1,4.331,2.703,45.78,-3.435,0.06,2.362
125,0,0,0,12.464,0,3.991,2.361,66.48,-3.851,0.311,3.204
126,0,0,0,14.039,2,4.492,2.438,44.81,-3.762,0.319,4.859
127,1,3,0,13.711,0,4.512,2.712,29.95,-3.598,0.156,4.308
128,1,0,0,13.992,1,4.245,2.314,29.95,-3.698,0.156,3.943
129,1,0,0,13.99,1,4.085,2.18,9.72,-3.715,0,4.58
130,1,0,0,13.213,0,3.763,2.128,6.48,-3.674,0,4.239
131,2,0,0,13.718,0,4.136,2.048,9.72,-3.874,0,5.039
132,1,0,0,14.272,1,3.823,2.045,6.48,-3.556,0,4.894
133,2,0,0,13.775,0,3.999,2.03,6.48,-3.901,0,5.886
134,0,0,0,13.377,1,4.003,2.564,30.87,-3.54,0,3.723
135,0,0,0,13.464,1,4.022,2.588,28.07,-3.54,0.206,3.771
136,1,0,0,13.286,0,3.926,2.312,30.87,-3.446,0,3.439
137,0,1,0,12.759,0,4.517,3.155,58.1,-3.777,0.148,3.197
138,0,1,0,13.565,1,4.361,2.691,40.54,-3.797,0.235,4.426
139,0,2,0,12.715,0,4.708,3.086,41.03,-4.19,0.061,5.375
140,1,0,0,13.271,0,4.303,2.6,48.3,-3.698,0.298,2.856
141,0,1,0,12.776,0,4.536,2.828,64.16,-3.762,0.199,3.59
142,2,0,0,13.814,0,4.342,2.128,43.86,-3.762,0.086,3.471
143,0,0,0,12.476,0,4.289,2.225,49.77,-4.253,0.398,5.381
144,0,0,0,12.454,0,4.241,2.924,32.78,-4.05,0.248,3.865
145,0,0,1,12.548,0,4.177,2.48,49.77,-3.977,0.404,3.343
146,0,0,0,12.358,0,3.901,2.184,29.46,-4.13,0.495,5.736
147,0,0,0,12.942,0,3.548,2.308,53.71,-2.865,0.725,1.214
148,0,0,0,14.059,0,3.895,2.285,85.79,-2.683,0.381,1.262
149,0,0,0,12.427,0,4.055,2.487,39.34,-3.821,0.075,2.424
150,0,0,0,12.122,0,3.558,2.443,3.24,-3.938,0,4.332
151,0,0,0,13.008,0,3.628,2.341,75.27,-2.75,0.211,1.185
152,0,0,0,13.075,0,3.55,2.368,75.27,-2.605,0.211,0.795
153,0,0,0,13.008,0,3.656,2.595,75.27,-2.75,0.211,0.961
154,0,0,1,12.851,0,3.849,2.495,66.48,-3.13,0.211,1.307
155,0,0,0,12.897,0,3.832,2.827,66.48,-3.012,0.21,1.043
156,0,0,0,13.008,0,3.609,2.341,75.27,-2.75,0.211,1.185
157,0,0,0,12.95,0,3.805,3.138,75.27,-2.885,0.21,0.7
158,0,0,0,12.759,0,3.656,2.909,58.2,-3,0.15,0.538
159,0,0,0,12.95,0,3.7,2.55,75.27,-2.885,0.211,1.351
160,0,0,0,23.197,3,2.43,1.446,40.46,-0.802,0.266,0.667
161,0,0,0,12.344,0,3.205,2.491,16.13,-2.987,0,1.848
162,0,0,0,13.208,0,3.277,4.027,74.43,-1.661,0.072,-1.318
163,0,0,0,12.905,0,4.384,2.54,83.09,-3.685,1.125,2.872
164,1,3,0,14.126,0,4.411,2.973,77.98,-3.073,0.086,3.514
165,0,0,0,12.676,0,3.943,2.614,62.32,-3.556,0.43,2.901
166,0,0,0,12.676,0,3.91,3.068,46.53,-3.475,0.504,3.667
167,0,1,0,12.842,0,3.927,3.125,37.3,-3.475,0.295,3.681
168,0,0,0,12.543,0,3.546,2.267,37.3,-3.386,0.295,3.073
169,0,0,0,13.667,1,4.245,2.697,68.53,-3.529,0.614,3.927
170,0,0,0,12.641,0,3.968,3.106,54.37,-3.577,0.378,3.106
171,0,0,0,12.715,0,3.824,2.779,46.53,-3.366,0.541,3.037
172,1,0,0,13.837,0,4.188,2.869,99.6,-2.95,0.407,1.581
173,0,0,0,12.918,0,3.35,2.973,49.33,-2.516,0.334,1.351
174,0,0,0,13.238,0,3.59,3.223,63.6,-2.562,0.534,1.31
175,0,0,0,12.646,0,3.948,2.699,41.93,-3.649,0.624,1.501
176,0,0,0,12.41,0,4.068,2.336,29.54,-4.087,0.269,4.276
177,0,0,0,12.729,0,4.135,2.994,70,-3.715,0.719,1.525
178,0,0,0,12.823,0,4.282,2.714,65.07,-3.698,0.744,1.989
179,0,0,0,12.33,0,4.186,2.636,23.55,-4.087,0.075,4.137
180,0,0,0,12.676,0,3.916,2.838,49.77,-3.556,0.57,1.63
181,0,0,0,12.827,0,3.991,2.927,70,-3.446,0.719,0.745
182,0,0,0,12.565,0,3.703,2.416,29.54,-3.475,0.28,2.213
183,0,0,0,12.271,0,3.923,2.292,20.31,-4.13,0.089,4.292
184,0,0,0,12.676,0,3.915,2.923,52.93,-3.556,0.635,1.198
185,0,0,0,12.296,0,3.825,2.176,23.47,-3.974,0.258,3.883
186,0,0,0,12.827,0,4.104,2.907,62.3,-3.446,0.567,0.918
187,0,0,0,12.701,0,4.218,2.583,59.06,-3.797,0.559,2.233
188,0,0,0,12.791,0,4.119,2.685,59.06,-3.54,0.559,1.063
189,0,0,0,13.008,0,3.913,1.893,52.6,-3.025,0.55,0.265
190,0,0,0,13.85,1,3.502,2.274,29.1,-3.25,0.088,2.898
191,0,0,0,12.318,0,3.17,1.965,20.23,-3.416,0.257,3.639
192,0,0,0,12.391,0,3.833,2.222,32.34,-3.765,0.074,3.897
193,0,0,0,13.978,1,3.764,2.208,55.56,-3.012,0.273,2.421
194,0,0,0,12.48,0,3.615,2.094,32.34,-3.366,0.075,2.584
195,0,0,0,12.454,0,3.689,2.264,32.34,-3.475,0.074,2.726
196,0,0,0,12.51,0,3.58,2.259,41.13,-3.25,0.074,2.322
