Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predict_KNN,Predict_RF,Predict_DT,Predict_Naive,Predict_XG-Boost,Predict_SVM,Y_Actual
131.0,-1.13,88.99,129.17,5.0,5.0,3.0,126.83,1.0,1.0,1.0,0.0,0.0,1.0,1.0
121.0,1.89,159.78,440.48,9.0,7.0,9.0,372.36,1.0,1.0,0.0,1.0,0.0,1.0,1.0
5.0,4.14,35.16,326.83,4.0,1.0,1.0,292.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.0,1.34,139.7,392.48,8.0,7.0,9.0,348.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25.0,3.57,23.47,259.39,2.0,1.0,2.0,268.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.89,86.28,493.62,8.0,2.0,7.0,461.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.0,2.78,59.22,339.48,4.0,2.0,8.0,344.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.0,-1.24,156.8,229.63,8.0,8.0,2.0,176.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.29,46.53,348.51,4.0,1.0,9.0,359.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126.0,0.73,133.47,334.4,7.0,7.0,6.0,289.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.0,1.16,119.48,332.38,7.0,6.0,5.0,280.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114.0,-0.39,149.44,273.27,9.0,6.0,5.0,217.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108.0,1.48,119.48,346.41,7.0,6.0,5.0,296.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179.0,0.99,58.36,235.33,4.0,3.0,6.0,239.83,1.0,0.0,1.0,0.0,1.0,1.0,1.0
133.0,-1.94,59.06,392.52,5.0,1.0,5.0,332.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127.0,2.32,119.48,376.48,7.0,6.0,8.0,340.64,1.0,1.0,0.0,1.0,0.0,1.0,1.0
134.0,4.92,11.41,373.95,3.0,0.0,4.0,337.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.0,3.06,45.59,324.42,4.0,1.0,4.0,310.79,0.0,0.0,1.0,0.0,0.0,0.0,0.0
188.0,2.05,90.81,344.41,6.0,4.0,8.0,324.64,1.0,1.0,1.0,1.0,1.0,0.0,1.0
192.0,0.38,103.29,339.39,8.0,4.0,8.0,315.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0
110.0,0.31,150.54,334.36,8.0,7.0,6.0,275.17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191.0,3.61,94.05,496.44,7.0,4.0,9.0,437.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,1.71,142.81,375.86,8.0,7.0,7.0,332.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
186.0,5.56,67.46,495.64,6.0,1.0,12.0,474.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,1.03,139.7,390.46,8.0,7.0,9.0,338.54,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81.0,1.41,128.71,390.46,8.0,6.0,7.0,339.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151.0,1.22,67.79,265.31,5.0,2.0,5.0,247.78,1.0,0.0,1.0,1.0,0.0,0.0,0.0
20.0,1.43,119.48,346.41,7.0,6.0,5.0,296.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167.0,3.53,89.65,435.41,6.0,2.0,5.0,360.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.0,1.63,90.02,314.37,6.0,3.0,4.0,263.19,0.0,1.0,1.0,1.0,1.0,0.0,1.0
50.0,-0.92,92.17,393.51,6.0,3.0,5.0,375.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142.0,1.91,106.96,383.41,9.0,2.0,4.0,336.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
143.0,0.77,130.7,268.25,9.0,1.0,3.0,227.43,1.0,1.0,1.0,1.0,0.0,0.0,0.0
100.0,2.64,3.24,187.29,1.0,0.0,4.0,202.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.0,7.23,66.58,582.92,6.0,4.0,29.0,625.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.0,-0.3,214.47,486.49,15.0,8.0,8.0,415.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.0,2.77,26.02,179.31,1.0,2.0,0.0,191.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,6.36,128.29,764.94,11.0,4.0,11.0,711.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
