Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predict_KNN,Predict_RF,Predict_DT,Predict_Naive,Predict_XG-Boost,Predict_SVM,Y_Actual
36.0,-0.31,153.7,350.4,8.0,8.0,7.0,297.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
103.0,0.62,119.48,360.44,7.0,6.0,5.0,313.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77.0,2.28,132.74,478.43,8.0,4.0,6.0,390.35,1.0,0.0,0.0,1.0,0.0,0.0,0.0
163.0,-4.9,205.46,501.53,15.0,8.0,8.0,435.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139.0,4.82,6.48,314.86,2.0,0.0,4.0,300.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2.56,71.7,434.58,6.0,2.0,3.0,417.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,1.88,139.7,406.51,8.0,7.0,10.0,365.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98.0,-1.47,46.53,332.46,4.0,1.0,6.0,332.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52.0,0.19,146.36,335.39,8.0,7.0,7.0,285.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31.0,0.38,133.47,320.37,7.0,7.0,6.0,272.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
182.0,0.33,86.26,314.41,7.0,2.0,10.0,288.97,1.0,1.0,1.0,1.0,1.0,0.0,1.0
156.0,3.1,114.16,681.84,10.0,2.0,9.0,608.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,2.73,99.8,514.03,9.0,2.0,4.0,455.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,3.1,136.99,460.56,9.0,5.0,8.0,408.23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
111.0,0.28,150.54,334.36,8.0,7.0,6.0,275.17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119.0,1.26,119.48,374.47,7.0,6.0,5.0,330.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68.0,1.4,144.75,335.34,8.0,6.0,5.0,271.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,-0.85,46.53,318.44,4.0,1.0,5.0,315.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87.0,4.29,31.64,403.98,4.0,1.0,6.0,363.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,4.88,43.77,477.05,4.0,1.0,7.0,449.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.72,84.58,266.34,5.0,4.0,8.0,260.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58.0,-0.92,92.17,393.51,6.0,3.0,5.0,375.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0
148.0,1.92,122.04,528.67,9.0,3.0,8.0,478.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,1.48,139.7,404.49,8.0,7.0,9.0,354.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.77,49.77,289.38,4.0,1.0,5.0,279.01,0.0,1.0,1.0,0.0,1.0,0.0,1.0
172.0,1.35,72.71,239.31,4.0,4.0,5.0,237.12,0.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,0.33,133.47,320.37,7.0,7.0,6.0,272.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170.0,-0.52,84.95,237.06,5.0,4.0,5.0,240.57,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43.0,3.93,125.14,521.58,10.0,3.0,10.0,466.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,2.46,138.8,706.75,12.0,3.0,7.0,609.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157.0,1.15,38.91,244.31,2.0,2.0,3.0,233.97,0.0,0.0,1.0,0.0,0.0,1.0,0.0
60.0,0.75,138.67,293.3,7.0,7.0,3.0,235.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173.0,4.16,6.48,280.42,2.0,0.0,4.0,287.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.72,84.58,266.34,5.0,4.0,8.0,260.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38.0,1.82,89.24,517.67,8.0,1.0,5.0,469.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80.0,1.72,119.48,378.43,7.0,6.0,6.0,318.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74.0,0.0,161.63,425.49,10.0,5.0,5.0,340.84,1.0,1.0,1.0,1.0,1.0,1.0,0.0
169.0,-0.17,55.48,162.99,3.0,3.0,1.0,173.16,0.0,1.0,1.0,0.0,1.0,1.0,0.0
