Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predict_KNN,Predict_RF,Predict_DT,Predict_Naive,Predict_XG-Boost,Predict_SVM,Y_Actual
123.0,1.83,119.48,360.44,7.0,6.0,5.0,313.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51.0,-0.51,152.23,286.32,9.0,7.0,4.0,237.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116.0,1.34,139.7,392.48,8.0,7.0,9.0,348.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
187.0,1.69,134.82,398.42,9.0,4.0,10.0,355.87,1.0,1.0,1.0,1.0,1.0,0.0,1.0
117.0,1.66,119.92,404.49,8.0,5.0,8.0,356.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,-1.39,46.53,340.44,4.0,1.0,5.0,330.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46.0,-0.09,146.36,321.36,8.0,7.0,6.0,268.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
166.0,2.4,111.94,374.44,6.0,3.0,5.0,347.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0
177.0,3.34,59.09,414.53,6.0,0.0,7.0,377.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,2.46,104.2,364.45,6.0,4.0,5.0,338.43,1.0,0.0,0.0,1.0,0.0,1.0,0.0
17.0,2.78,97.72,577.62,8.0,1.0,8.0,486.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,1.74,119.48,374.47,7.0,6.0,6.0,330.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88.0,2.96,29.1,237.73,2.0,1.0,2.0,218.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,2.54,67.59,299.8,5.0,3.0,7.0,278.91,0.0,1.0,0.0,1.0,0.0,1.0,1.0
164.0,-5.33,222.53,529.54,16.0,8.0,8.0,454.28,0.0,0.0,0.0,0.0,0.0,1.0,1.0
42.0,-3.06,127.68,393.49,8.0,6.0,8.0,352.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53.0,3.75,95.96,548.57,8.0,1.0,9.0,476.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,4.55,63.97,454.61,6.0,0.0,13.0,454.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.0,1.53,92.94,303.36,5.0,5.0,6.0,283.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159.0,-2.1,160.45,513.62,12.0,6.0,10.0,475.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.73,180.09,749.0,14.0,5.0,7.0,736.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,-0.39,135.59,344.42,8.0,5.0,4.0,275.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124.0,1.83,119.48,360.44,7.0,6.0,5.0,313.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180.0,0.53,142.81,319.76,8.0,7.0,5.0,266.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147.0,2.75,126.8,584.71,10.0,3.0,8.0,535.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,1.72,98.22,265.34,5.0,5.0,3.0,231.48,1.0,1.0,1.0,1.0,0.0,1.0,0.0
73.0,2.56,90.56,469.97,8.0,2.0,4.0,413.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,-1.16,46.53,352.45,4.0,1.0,5.0,336.7,1.0,1.0,1.0,0.0,1.0,1.0,1.0
90.0,2.2,98.22,295.75,5.0,5.0,3.0,232.65,1.0,1.0,1.0,1.0,0.0,1.0,0.0
37.0,0.67,139.7,364.43,8.0,7.0,8.0,315.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,0.38,103.29,339.39,8.0,4.0,8.0,315.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59.0,1.01,37.81,211.27,3.0,1.0,0.0,194.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0
122.0,2.06,110.69,374.47,7.0,5.0,6.0,330.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85.0,2.07,50.72,265.35,4.0,2.0,9.0,267.35,1.0,0.0,1.0,0.0,1.0,1.0,0.0
24.0,1.05,62.3,303.36,5.0,1.0,5.0,277.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
93.0,3.46,58.56,341.45,4.0,2.0,11.0,338.04,0.0,1.0,0.0,0.0,0.0,1.0,0.0
55.0,4.18,104.75,562.6,8.0,2.0,10.0,492.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,3.94,81.94,415.57,5.0,4.0,16.0,419.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0
