Compound,Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Decision
139,113,0.69,139.7,378.45,8,7,9,332.31,1
140,114,-0.39,149.44,273.27,9,6,5,217.28,1
141,115,-0.31,159.93,394.45,9,8,10,340.57,1
142,116,1.34,139.7,392.48,8,7,9,348.9,1
143,117,1.66,119.92,404.49,8,5,8,356.42,1
144,118,3.1,136.99,460.56,9,5,8,408.23,0
145,119,1.26,119.48,374.47,7,6,5,330.49,1
146,120,1.82,119.48,360.44,7,6,6,313.69,1
147,121,1.89,159.78,440.48,9,7,9,372.36,1
148,122,2.06,110.69,374.47,7,5,6,330.63,1
149,123,1.83,119.48,360.44,7,6,5,313.45,1
150,124,1.83,119.48,360.44,7,6,5,313.45,1
151,125,1.57,119.48,364.4,7,6,5,301.82,1
152,126,0.73,133.47,334.4,7,7,6,289.57,1
153,127,2.32,119.48,376.48,7,6,8,340.64,1
154,128,1.32,133.47,374.47,7,7,5,329.4,1
155,129,1.27,127.76,366.44,8,5,5,321.62,0
156,130,-0.02,135.59,358.44,8,5,5,292.26,1
157,131,-1.13,88.99,129.17,5,5,3,126.83,1
158,132,0.43,97.78,205.26,5,6,6,198.34,1
159,133,-1.94,59.06,392.52,5,1,5,332.91,1
160,134,4.92,11.41,373.95,3,0,4,337.96,0
161,135,5.69,8.17,346.5,2,0,4,326.47,0
162,136,3.92,15.27,266.39,2,1,4,270.37,0
163,137,4.51,31.64,437.53,4,1,7,380.78,0
164,138,2.77,26.02,179.31,1,2,0,191.67,0
165,139,4.82,6.48,314.86,2,0,4,300.85,0
166,140,3.34,32.34,288.44,3,1,5,301.5,0
167,141,2.89,43.69,267.33,3,2,0,246.38,0
168,142,1.91,106.96,383.41,9,2,4,336,0
169,143,0.77,130.7,268.25,9,1,3,227.43,0
170,144,3.42,29.1,239.75,2,1,4,228.54,0
171,145,7.23,66.58,582.92,6,4,29,625.79,0
172,146,0.83,142.81,305.73,8,7,4,249.34,0
173,147,2.75,126.8,584.71,10,3,8,535.17,0
174,148,1.92,122.04,528.67,9,3,8,478.54,0
175,149,-0.73,160.89,471.52,12,5,8,418.39,0
176,150,5.43,3.24,315.87,1,0,3,283.2,0
177,151,1.22,67.79,265.31,5,2,5,247.78,0
178,152,2.79,105.61,478.43,8,1,5,392.34,0
179,153,1.69,117.34,505.62,9,3,9,472.55,0
180,154,1.82,86.24,508.62,8,1,5,444.67,0
181,155,-0.23,92.72,563.6,8,1,9,496.24,0
182,156,3.1,114.16,681.84,10,2,9,608.22,0
183,157,1.15,38.91,244.31,2,2,3,233.97,0
184,158,1.72,98.22,265.34,5,5,3,231.48,0
185,159,-2.1,160.45,513.62,12,6,10,475.38,0
186,160,-0.84,193.79,470.53,12,7,7,377.5,0
187,161,-1.6,231.54,514.5,16,8,8,434.49,0
188,162,-0.3,214.47,486.49,15,8,8,415.51,0
189,163,-4.9,205.46,501.53,15,8,8,435.3,0
190,164,-5.33,222.53,529.54,16,8,8,454.28,1
191,165,5.7,113.41,681.86,10,3,11,640.28,0
192,166,2.4,111.94,374.44,6,3,5,347.33,0
193,167,3.53,89.65,435.41,6,2,5,360.08,0
194,168,-3.35,191.46,571.66,15,7,12,519.97,0
195,169,-0.17,55.48,162.99,3,3,1,173.16,0
196,170,-0.52,84.95,237.06,5,4,5,240.57,0
201,171,2.78,59.22,339.48,4,2,8,344.36,1
202,172,1.35,72.71,239.31,4,4,5,237.12,1
203,173,4.16,6.48,280.42,2,0,4,287.31,0
204,174,1.63,90.02,314.37,6,3,4,263.19,1
205,175,8.31,42.68,645.32,4,0,11,437.04,0
206,176,1.53,92.94,303.36,5,5,6,283.75,1
207,177,3.34,59.09,414.53,6,0,7,377.75,0
208,178,4.88,43.77,477.05,4,1,7,449.06,0
209,179,0.99,58.36,235.33,4,3,6,239.83,1
210,180,0.53,142.81,319.76,8,7,5,266.14,1
211,181,3.06,45.59,324.42,4,1,4,310.79,0
212,182,0.33,86.26,314.41,7,2,10,288.97,1
213,183,1.4,65.2,295.41,5,2,6,269.73,1
214,184,-1.16,46.53,352.45,4,1,5,336.7,1
215,185,1.31,103.06,387.44,9,2,4,348.39,0
216,186,5.56,67.46,495.64,6,1,12,474.92,0
217,187,1.69,134.82,398.42,9,4,10,355.87,1
218,188,2.05,90.81,344.41,6,4,8,324.64,1
219,189,2.61,70.67,322.75,5,2,2,265.03,1
220,190,0.77,132.36,353.43,7,5,5,283.9,1
221,191,3.61,94.05,496.44,7,4,9,437.34,0
222,192,0.38,103.29,339.39,8,4,8,315.02,1
